LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmDly,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
107,190625,2,2,134,30,90,2,1,0,30,60,35,1,5,0,7.53,73.37,62.246,,
107,190625,2,2,165,40,85,2,1,1,30,0,35,1,4,0,18.104,85.228,63.11,,
107,190625,2,2,197,0,85,2,1,0,30,0,35,1,5,0,8.36,90.074,70.234,,
107,190625,2,2,228,0,80,2,1,1,30,40,35,1,5,0,15.86,86.302,61.322,,
107,190625,2,2,259,0,80,2,1,0,30,40,35,1,5,0,5.986,68.558,46.174,,
106,190626,2,2,1,30,45,2,1,0,30,40,35,1,5,0,10.498,50.192,6.438,,
106,190626,2,2,33,30,45,2,1,1,30,40,35,1,5,0,6.986,6.376,5.866,,
106,190626,2,2,67,0,45,2,1,0,30,0,35,1,5,0,10.388,29.724,22.946,,
106,190626,2,2,97,30,45,2,1,1,30,0,35,1,5,0,10.912,40.508,30.034,,
106,190626,2,2,128,30,40,2,1,0,30,60,35,1,5,0,11.338,52.194,33.888,,
106,190626,2,2,159,0,40,2,1,1,30,60,35,1,5,0,12.536,52.368,33.064,,
106,190626,2,2,193,0,35,2,1,0,30,20,35,1,5,0,12.77,55.108,37.96,,
106,190626,2,2,231,0,35,2,1,1,30,20,35,1,5,0,16.798,80.346,32.19,,
107,190626,2,2,1,30,85,2,1,1,30,40,35,1,5,0,7.784,43.96,33.034,,
107,190626,2,2,33,30,85,2,1,0,30,40,35,1,5,1,0,29.02,31.802,,
107,190626,2,2,67,0,80,2,1,1,30,0,35,1,5,0,0.7,31.324,38.534,,
107,190626,2,2,97,30,80,2,1,0,30,0,35,1,5,0,2.9,58.874,50.516,,
107,190626,2,2,128,30,70,2,1,1,30,60,35,1,5,0,5.348,44.12,36.182,,
107,190626,2,2,159,0,70,2,1,0,30,60,35,1,5,0,6.65,52.758,42.944,,
107,190626,2,2,193,0,65,2,1,1,30,20,35,1,5,0,9.108,38.522,28.522,,
107,190626,2,2,231,0,65,2,1,0,30,20,35,1,5,0,2.592,48.894,44.196,,
106,190627,2,2,1,30,40,2,1,0,30,20,35,1,5,2,12.574,52.346,3.55,,
106,190627,2,2,33,30,40,2,1,1,30,20,35,1,5,0,9.648,13.394,5.136,,
106,190627,2,2,70,0,45,2,1,0,30,40,35,1,5,0,9.572,46.56,29.506,,
106,190627,2,2,102,0,45,2,1,1,30,40,35,1,5,0,13.632,53.85,16.006,,
106,190627,2,2,135,0,45,2,1,0,30,60,35,1,5,0,11.504,38.862,28.426,,
106,190627,2,2,166,0,45,2,1,1,30,60,35,1,5,0,16.168,50.922,27.146,,
106,190627,2,2,198,0,45,2,1,0,30,0,35,1,5,0,15.21,46.496,31.486,,
106,190627,2,2,231,30,45,2,1,1,30,0,35,1,5,0,17.636,55.162,27.68,,
107,190627,2,2,70,0,80,2,1,1,30,40,35,1,5,0,10.372,31.854,3.142,,
107,190627,2,2,102,0,80,2,1,0,30,40,35,1,5,1,16.634,44.114,21.69,,
107,190627,2,2,135,0,80,2,1,1,30,60,35,1,5,0,20.986,36.058,17.246,,
107,190627,2,2,166,0,80,2,1,0,30,60,35,1,5,0,16.668,40.804,21.846,,
107,190627,2,2,198,0,80,2,1,1,30,0,35,1,5,0,18.166,41.74,23.014,,
107,190627,2,2,231,30,80,2,1,0,30,0,35,1,5,0,20.596,46.198,25.78,,
