LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,MSEstm,stmDrtn,MSEStmHz,MSEstmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded
99,181114,2,2,110,0,300,2,0,0,1,8,400,0,0,0,0,0,0,NaN,,0,0
99,181114,2,2,122,55,300,2,0,1,1,8,400,0,0,0,0,0,0,NaN,,0,0
99,181114,2,2,135,0,300,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,1,1
99,181114,2,2,150,0,300,2,0,1,1,20,400,0,2,0,0,24,0,NaN,,1,1
100,181114,2,2,0,30,100,2,0,1,1,20,400,0,0,0,0,0,0,NaN,,0,0
100,181114,2,2,13,30,200,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,0,0
100,181114,2,2,29,10,200,2,0,1,1,8,400,0,0,0,0,0,0,NaN,,-1,0
100,181114,2,2,42,15,300,2,0,0,1,8,400,0,0,0,0.0424,4.6888,2.7944,NaN,,-1,0
100,181114,2,2,54,40,300,2,0,1,1,1,400,0,0,1,0,6,0,NaN,,0.308557969118032,0
100,181114,2,2,67,0,350,2,0,0,1,1,400,1,0,1,0.3856,3.1704,3.464,NaN,,0.308557969118032,0
100,181114,2,2,74,0,350,2,0,1,1,1,400,1,1,1,0.7192,30,30,NaN,,0.282160868450295,0
100,181114,2,2,97,10,300,2,0,0,1,1,400,1,1,1,0.6872,16.796,8.5296,NaN,,0.282160868450295,0
100,181114,2,2,110,0,300,2,0,1,1,8,400,1,1,1,0,7,0,NaN,,1,1
100,181114,2,2,122,55,300,2,0,0,1,8,400,0,0,2,0,0,1.8008,NaN,,1,1
100,181114,2,2,135,0,300,2,0,1,1,20,400,1,2,1,0,22,0,NaN,,1,1
100,181114,2,2,150,0,300,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,1,1
99,181115,2,1,1,20,250,2,0,0,1,20,400,0,1,0,0,0,0,NaN,,1,1
99,181115,2,1,21,0,250,2,0,1,1,20,400,0,2,0,0,28,0,NaN,,1,1
99,181115,2,1,40,0,250,2,0,0,1,8,400,0,1,0,0,0,0,NaN,,0,0
99,181115,2,1,58,0,250,2,0,1,1,8,400,0,1,0,0,0,0,NaN,,0,0
99,181115,2,1,75,0,250,2,0,0,1,1,400,0,1,0,0,0,0,NaN,,1,1
99,181115,2,1,93,0,250,2,0,1,1,1,400,0,2,0,0,16,14.8032,NaN,,1,1
99,181115,2,1,110,0,250,2,0,0,1,1,400,1,4,0,6.7136,0,9.7024,NaN,,1,1
99,181115,2,1,127,0,250,2,0,1,1,1,400,1,5,0,0,25,11,NaN,,1,1
99,181115,2,1,160,0,225,2,0,0,1,8,400,1,5,0,8.736,69.7032,25.1344,NaN,,-1,0
99,181115,2,1,193,0,225,2,0,1,1,8,400,0,1,0,0,0,0,NaN,,-1,0
99,181115,2,1,234,0,200,2,0,0,1,20,400,1,5,0,2.6744,0,11.2816,NaN,,1,1
99,181115,2,1,268,0,200,2,0,1,1,20,400,1,5,0,0,24,0,NaN,,1,1
100,181115,2,1,1,20,250,2,0,1,1,20,400,0,1,0,0,0,0,NaN,,0,0
100,181115,2,1,21,0,250,2,0,0,1,20,400,0,0,0,3.1224,0,1.2176,NaN,,0,0
