LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmDly,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
88,190417,1,3,0,30,300,2,1,0,30,20,40,1,5,0,6.044,32.68,27.688,,
88,190417,1,3,33,0,300,2,1,1,30,20,40,1,5,0,7.1,49.208,37.756,,
88,190417,1,4,0,30,300,2,1,0,30,0,40,1,5,0,2.026,99.588,51.662,,
88,190417,1,4,32,30,300,2,1,1,30,0,40,1,0,0,0,1,0,,
88,190418,1,1,0,30,250,2,1,0,30,0,40,1,5,0,7.122,46.246,33.566,,
88,190418,1,1,33,0,250,2,1,1,30,0,40,1,0,0,0,2.858,0,,
88,190418,1,2,0,40,250,2,1,0,30,60,40,1,5,0,8.736,66.52,48.668,,
88,190418,1,2,38,0,250,2,1,1,30,60,40,1,4,0,11.108,12.516,2.588,,
88,190418,1,3,0,30,250,2,1,0,30,20,40,1,5,0,8.542,55.096,37.84,,
88,190418,1,3,33,30,250,2,1,1,30,20,40,1,0,0,0,0,0,,
88,190418,1,4,3,40,275,2,1,0,30,40,40,1,4,0,0,13,13,,
88,190418,1,4,68,20,275,2,1,1,30,40,40,1,0,0,0,0,0,,
104,190503,1,1,2,0,80,2,1,0,30,0,40,1,2,1,2.2616,30,0,,
104,190503,1,1,35,0,80,2,1,1,30,0,40,1,4,3,0,43,24,,
104,190503,1,1,70,0,70,2,1,0,30,20,40,1,4,0,0,47,34,,
104,190503,1,1,166,30,70,2,1,1,30,20,40,1,4,1,3.5608,32,10,,
104,190503,1,1,206,0,60,2,1,0,30,40,40,1,5,0,0,49,38,,
104,190503,1,1,240,0,60,2,1,1,30,40,40,1,4,0,3.9704,41,28.7904,,
104,190503,1,1,281,0,50,2,1,0,30,60,40,1,4,1,5.4336,50,32.7536,,
104,190503,1,1,319,30,50,2,1,1,30,60,40,1,4,1,6.0088,56,21,,
104,190503,1,1,369,0,40,2,1,0,30,60,40,1,4,1,5.856,51,20,,
104,190503,1,1,401,0,40,2,1,1,30,60,40,1,5,0,7.0088,59,26,,
104,190503,1,1,435,0,35,2,1,0,30,40,40,1,5,0,6.2432,54,32,,
104,190503,1,1,470,0,35,2,1,1,30,40,40,1,5,0,6.6248,64,28,,
105,190503,1,1,2,0,80,2,1,1,30,0,40,1,2,0,0.3288,38,0,,
105,190503,1,1,35,0,80,2,1,0,30,0,40,1,5,0,0,38,38,,
105,190503,1,1,70,0,70,2,1,1,30,20,40,1,4,0,15.616,37,8,,
105,190503,1,1,166,30,70,2,1,0,30,20,40,1,4,0,6.5584,49,20,,
105,190503,1,1,206,0,60,2,1,1,30,40,40,1,5,0,0,53,10,,
105,190503,1,1,240,0,60,2,1,0,30,40,40,1,5,0,0,60,14,,
105,190503,1,1,281,0,50,2,1,1,30,60,40,1,5,0,6.7816,53,18,,
105,190503,1,1,319,30,50,2,1,0,30,60,40,1,4,0,0,59,22,,
105,190503,1,1,369,0,45,2,1,1,30,60,40,1,0,0,0,29,0,,
105,190503,1,1,401,0,45,2,1,0,30,60,40,1,5,0,7.888,39,18,,
105,190503,1,1,435,0,45,2,1,1,30,40,40,1,5,0,0.5352,40,10,,
105,190503,1,1,470,0,45,2,1,0,30,40,40,1,5,0,10.8016,48,19,,
104,190506,1,1,1,10,40,2,1,0,30,20,40,1,5,0,10.086,25.926,21.42,,
104,190506,1,1,33,30,40,2,1,1,30,20,40,1,4,0,11.644,70.022,25.966,,
104,190506,1,1,66,30,40,2,1,0,30,0,40,1,5,0,10.372,77.002,61.386,,
104,190506,1,1,100,20,40,2,1,1,30,0,40,1,4,0,9.908,67.114,39.262,,
104,190506,1,1,133,0,35,2,1,0,30,0,40,1,5,0,12.356,61.696,45.85,,
104,190506,1,1,165,0,35,2,1,1,30,0,40,1,4,0,11.15,53.494,44.254,,
104,190506,1,1,228,0,40,2,1,0,30,20,40,1,5,0,10.434,92.146,61.848,,
104,190506,1,1,266,0,40,2,1,1,30,20,40,1,4,0,13.2,96.886,45.362,,
104,190506,1,1,298,30,40,2,1,0,30,40,40,1,5,0,13.524,61.004,45.718,,
104,190506,1,1,330,20,40,2,1,1,30,40,40,1,4,0,15.458,85.948,34.384,,
104,190506,1,1,368,0,40,2,1,0,30,60,40,1,4,0,12.918,66.96,45.176,,
104,190506,1,1,399,30,40,2,1,1,30,60,40,1,1,0,11.614,19.542,6.464,,
105,190506,1,1,1,10,50,2,1,1,30,20,40,1,1,0,0,25.472,22.054,,
105,190506,1,1,33,30,50,2,1,0,30,20,40,1,5,0,19.972,51.638,30.72,,
105,190506,1,1,66,30,50,2,1,1,30,0,40,1,5,0,10.884,61.106,44.722,,
105,190506,1,1,100,20,50,2,1,0,30,0,40,1,5,0,12.948,41.296,36.724,,
105,190506,1,1,133,0,45,2,1,1,30,0,40,1,5,0,15.822,61.332,44.32,,
105,190506,1,1,165,0,45,2,1,0,30,0,40,1,5,0,14.494,70.338,37.668,,
105,190506,1,1,228,0,40,2,1,1,30,20,40,1,0,0,0,0,0,,
105,190506,1,1,266,0,40,2,1,0,30,20,40,1,5,0,13.846,72.492,49.52,,
105,190506,1,1,298,30,40,2,1,1,30,40,40,1,0,0,0,0,0,,
105,190506,1,1,330,20,40,2,1,0,30,40,40,1,5,0,14.718,52.31,29.928,,
105,190506,1,1,368,0,45,2,1,1,30,60,40,1,0,0,0,0,0,,
105,190506,1,1,399,30,45,2,1,0,30,60,40,1,5,0,9.066,62.042,46.838,,
