LTR,date,expNo,sessionNo,ratNo,trialNo,closed,offset,duration,delay,jitter,r,theta,X,Y,pval,z
129,200814,2,1,1,1,1,20,20,0,0,0.652571445678907,-3.12817635139795,-0.652512716054916,-0.00875483307062506,4.69296761466472e-18,35.3455078123831
129,200814,2,1,1,2,1,20,20,0,0,0.734891466310284,2.39030431710872,-0.537066092610408,0.501622845795393,2.89509033938489e-12,22.6827496247386
129,200814,2,1,1,3,1,20,20,0,0,0.525568615322415,3.06657969747526,-0.524090636085349,0.0393874926794599,3.16761820776367e-06,11.8775618847126
129,200814,2,1,1,4,1,20,20,0,0,0.460868680560266,0.814018164471697,0.316424402947514,0.335075421272093,3.20441998350241e-07,14.2307960283312
130,200814,2,1,2,1,1,20,20,0,0,0.720451165895793,2.37773977372292,-0.520292761473197,0.498342577750689,2.21531621749382e-14,26.9905938869115
130,200814,2,1,2,3,1,20,20,0,0,0.846196867107535,2.46928420765767,-0.662052638016604,0.527006112296492,5.68273928626594e-30,52.2715870668904
129,200814,2,1,1,1,1,0,20,0,1,0.0596634259472226,-1.25258592375205,0.0186667355207984,-0.0566681337327804,0.493004710716832,0.708385154756183
129,200814,2,1,1,2,1,0,20,0,1,0.0425644577649273,-2.33562369467189,-0.0294721606744838,-0.0307103371847281,0.685286048501056,0.378652210547857
129,200814,2,1,1,3,1,0,20,0,1,0.0710404534986801,-0.192473174972157,0.0697286312286602,-0.013589114035714,0.354014331640382,1.03962968285942
129,200814,2,1,1,4,1,0,20,0,1,0.0947742450017488,2.04138225165795,-0.0429714577078603,0.0844725478372298,0.207854985525949,1.57187756523901
130,200814,2,1,2,1,1,0,20,0,1,0.139627363196673,1.75971150895137,-0.0262211096026143,0.137143187816469,0.0253903858334711,3.66521050401204
130,200814,2,1,2,2,1,0,20,0,1,0.0896944207233985,0.787764689618623,0.0632732622140608,0.0635734488422385,0.366544199852493,1.00563613861325
130,200814,2,1,2,3,1,0,20,0,1,0.0481997559437993,1.5310192248076,0.00191674106430305,0.0481616297142676,0.623098318117814,0.47393616050053
129,200814,2,1,1,1,1,0,20,0,0,0.504509922891955,-2.99301022089546,-0.498951193719204,-0.0746857990693522,2.18608213392209e-24,50.9060524592892
129,200814,2,1,1,2,1,0,20,0,0,0.259008168113701,-0.894049129643083,0.1622065618629,-0.201926378757785,6.17737126980334e-07,14.0878985414192
129,200814,2,1,1,3,1,0,20,0,0,0.413360096608758,-0.268141494986718,0.398588654269575,-0.109515542988065,9.17877591825589e-17,35.3693798799591
129,200814,2,1,1,4,1,0,20,0,0,0.304204138023579,-0.28614117521361,0.291835251901036,-0.0858623511122767,5.97687114504339e-08,16.2870677359577
130,200814,2,1,2,1,1,0,20,0,0,0.195742261730713,-1.43754788591058,0.0260052370180638,-0.19400711501151,0.000707405726561912,7.20322620916154
130,200814,2,1,2,2,1,0,20,0,0,0.365250253117265,1.42614337364012,0.0526504646218821,0.361435576524125,3.3936705984933e-08,16.6759684252783
130,200814,2,1,2,3,1,0,20,0,0,0.273473827232429,-2.36957524050526,-0.195945314615536,-0.190770458565709,1.83022265808256e-07,15.2567385729551
129,200814,2,1,1,1,1,0,20,20,0,0.544886950947376,-0.816797782435692,0.373007262707378,-0.3971994099697,1.07053077473e-28,59.3803578625457
129,200814,2,1,1,2,1,0,20,20,0,0.246772588965973,1.62726760977489,-0.0139281591180095,0.246379213913334,2.50937312960633e-06,12.7274125289785
129,200814,2,1,1,3,1,0,20,20,0,0.368092101274061,2.0162111692596,-0.158585960892273,0.332178096852018,2.95092927074008e-13,27.9113097741929
129,200814,2,1,1,4,1,0,20,20,0,0.240340243529085,2.3161435962509,-0.163005252717766,0.176614609378831,3.40572397368226e-05,10.1663641480931
130,200814,2,1,2,1,1,0,20,20,0,0.207378273807076,1.0540741534148,0.102451692671696,0.180303630345889,0.000288225739886876,8.08508070807406
130,200814,2,1,2,2,1,0,20,20,0,0.400355893524648,-2.7735203770653,-0.37354113970512,-0.144055053461234,9.08517353236029e-10,20.0356051849899
130,200814,2,1,2,3,1,0,20,20,0,0.237667245524799,-0.16103275973367,0.234592358868163,-0.0381070171492866,8.62236898220775e-06,11.5230867974504
129,200814,2,1,1,1,1,0,20,40,0,0.526030322431484,1.1046097909461,0.236441706810596,0.469897030633162,1.25709520746893e-26,55.3415800234742
129,200814,2,1,1,2,1,0,20,40,0,0.186234383676617,3.00597130573244,-0.184524288781719,0.0251800022440464,0.000678922915307469,7.24879834365257
129,200814,2,1,1,3,1,0,20,40,0,0.227994243784743,-2.800018341884,-0.214822670869882,-0.0763714297319822,1.99142202977997e-05,10.7081632909892
129,200814,2,1,1,4,1,0,20,40,0,0.186807506693485,-2.36076046613379,-0.132694608518159,-0.131488347115815,0.00207342740310396,6.14187984203839
130,200814,2,1,2,1,1,0,20,40,0,0.0829699481307889,2.98558991445318,-0.0819623802564524,0.0128911021841617,0.274452062742986,1.29419431105125
130,200814,2,1,2,2,1,0,20,40,0,0.379347474883895,-0.75279726002848,0.276839930085661,-0.259353349334366,8.30833798631026e-09,17.9880633375984
130,200814,2,1,2,3,1,0,20,40,0,0.214252213628762,1.7296312840159,-0.0338878305702371,0.211555255155876,7.86336727956953e-05,9.36441825314425
129,200814,2,1,1,1,1,0,20,60,0,0.502692218007832,2.68198679063715,-0.45052654171645,0.222991706694778,4.37361682490213e-24,50.2871937430811
129,200814,2,1,1,2,1,0,20,60,0,0.124481429381255,-3.11658705758363,-0.12444251354549,-0.00311240795539366,0.0390305768874153,3.23858588850728
129,200814,2,1,1,3,1,0,20,60,0,0.139582030863109,-2.56513965509555,-0.117025745763216,-0.0760796830200624,0.0178918965946582,4.01352752801323
129,200814,2,1,1,4,1,0,20,60,0,0.198122864231467,-1.49554752131976,0.0148944432397218,-0.197562205119955,0.000951507277475808,6.90846980230536
130,200814,2,1,2,1,1,0,20,60,0,0.10606804074886,2.6252909142959,-0.0922421600074279,0.0523623260127526,0.12058440170247,2.11508070244073
130,200814,2,1,2,2,1,0,20,60,0,0.212179193587932,0.712179576987405,0.160606781707369,0.138655947803283,0.00345096179147502,5.62750127395316
130,200814,2,1,2,3,1,0,20,60,0,0.0207978795714064,-2.62410803087571,-0.0180747357056899,-0.0102886210852662,0.91572947272678,0.088240566112012
130,200814,2,2,2,1,1,40,20,0,0,0.273487744549868,-1.23581026156166,0.089910739601324,-0.258285898421336,0.284279963402386,1.27152428912255
130,200814,2,2,2,1,1,0,20,0,1,0.0721624687593569,0.0215308629091305,0.0721457429369656,0.00155360017972418,0.660644181188724,0.416593751795613
130,200814,2,2,2,1,1,0,20,0,0,0.64506210480126,1.46403201736794,0.0687388483104118,0.641389187454536,5.53208095793301e-17,33.2884095240506
130,200814,2,2,2,1,1,0,20,20,0,0.415464456544397,-2.28229028290014,-0.271284165386987,-0.314667469341871,5.77918947500487e-07,13.8088571721385
130,200814,2,2,2,1,1,0,20,40,0,0.0496131548123109,1.33198628537719,0.0117358234059729,0.0482051405911667,0.822165801549681,0.196917210434426
130,200814,2,2,2,1,1,0,20,60,0,0.272252592501622,-1.28029676486721,0.0779815528000746,-0.260845455292484,0.0024667095123779,5.92971792990832
129,200814,2,3,1,1,1,20,20,0,0,0.486826997055164,-2.10813776724587,-0.249184300862454,-0.41821969019337,3.81027635420692e-17,35.5500787592623
129,200814,2,3,1,1,1,0,20,0,1,0.0371577185561,-1.74309680701512,-0.00637066177627943,-0.0366075226808178,0.781499457954555,0.247144592644687
129,200814,2,3,1,1,1,0,20,0,0,0.293629238246154,0.0887830738246871,0.29247274163851,0.0260350715664506,1.46698801978183e-07,15.43304518999
129,200814,2,3,1,1,1,0,20,20,0,0.2366181567966,2.55769877806089,-0.197415823016149,0.130442113401604,4.1897287402218e-05,9.96589107839601
129,200814,2,3,1,1,1,0,20,40,0,0.130471834183951,-2.43858457422594,-0.0995370760606724,-0.0843520598718035,0.0480994275546177,3.03007611372774
