LTR,date,expNo,sessionNo,ratNo,trialNo,closed,offset,duration,delay,jitter,r,theta,X,Y,pval,z
119,190718,1,3,1,2,1,40,20,0,0,0.693032205753784,0.83241108803164,0.466476223299045,0.512536409739459,7.24632148903744e-07,12.4876345935108
119,190718,1,3,1,1,1,20,20,0,0,0.77868070534092,2.18997910593823,-0.451922802707967,0.634120983143444,5.23354978488862e-16,29.1044947617711
119,190718,1,3,1,2,1,20,20,0,0,0.671219579947653,1.86369844166265,-0.193802538744577,0.642632321379232,1.2297542655784e-55,110.38125250375
120,190718,1,3,2,1,1,20,20,0,0,0.784413676830379,1.14022715004285,0.327404931871612,0.712818930012874,6.88351565750412e-55,101.525294705761
119,190718,1,3,1,1,1,0,20,0,1,0.0803949211735359,-3.04271685860264,-0.080002253865214,-0.00793616576092625,0.432418330050955,0.840234635564877
119,190718,1,3,1,2,1,0,20,0,1,0.165474247390833,-1.18451011204747,0.062342569575803,-0.153281214009574,0.00210775621993461,6.13350674710202
120,190718,1,3,2,1,1,0,20,0,1,0.153073278333454,3.01177039456778,-0.15178515435112,0.0198165450661272,0.00480276599648053,5.31893427852352
119,190718,1,3,1,1,1,0,20,0,0,0.804499600891019,2.39296924255781,-0.589397736265327,0.547567271044496,2.78570776403128e-46,84.1385490183952
119,190718,1,3,1,2,1,0,20,0,0,0.855683581548094,2.28775431006202,-0.562265076971562,0.645021220541725,1.27668542811894e-94,164.743738139469
120,190718,1,3,2,1,1,0,20,0,0,0.294347693794279,1.14408615669336,0.121824096399445,0.267954202016818,1.92819898947808e-09,19.6674082191365
119,190718,1,3,1,1,1,0,20,20,0,0.59846975504146,-1.98960816106101,-0.243382845925886,-0.546745679460206,4.50029310745207e-23,46.5615862009201
119,190718,1,3,1,2,1,0,20,20,0,0.793492502937948,-1.95881963515062,-0.3002253580653,-0.734503292431893,1.32364450775603e-76,141.037198896995
120,190718,1,3,2,1,1,0,20,20,0,0.238671171412205,3.1078686506913,-0.238535462914163,0.00804742167406176,2.06432498754893e-06,12.9308116703632
119,190718,1,3,1,1,1,0,20,40,0,0.498367325994919,-0.742478268265913,0.367194666756746,-0.336954104181457,1.10810287793279e-15,32.2880989105123
119,190718,1,3,1,2,1,0,20,40,0,0.678486494119543,-0.359194129516583,0.635185762314304,-0.238501509546218,3.32331820712969e-52,103.117038685389
120,190718,1,3,2,1,1,0,20,40,0,0.118373501263026,-0.0691103840006379,0.118090923329453,-0.00817432740138197,0.0413805113695901,3.18078887688776
119,190718,1,3,1,1,1,0,20,60,0,0.443128758368473,0.658243592926274,0.350544934171978,0.271074428191868,2.28205095009631e-12,25.527202544114
119,190718,1,3,1,2,1,0,20,60,0,0.376734802801854,0.954720232401248,0.217691350964545,0.307472905078453,5.0027899740029e-15,31.7921210078421
120,190718,1,3,2,1,1,0,20,60,0,0.28978497294855,2.25092079514268,-0.182242814358443,0.225306207552091,3.62429288756533e-09,19.0624000341218
119,190718,1,4,1,1,1,40,20,0,0,0.862200377664186,2.04212193261501,-0.391497390046153,0.768192218674021,1.85381454177988e-23,40.1430325271903
119,190718,1,4,1,2,1,40,20,0,0,0.928712251364755,2.04860974671673,-0.427057730090094,0.82469881836055,2.94173191522529e-26,41.4003094000796
120,190718,1,4,2,1,1,40,20,0,0,0.882111817344485,-0.154915497391689,0.871548151465163,-0.136106862341501,3.4595920554086e-80,135.393098943989
119,190718,1,4,1,1,1,20,20,0,0,0.890551350849814,2.22977375613801,-0.545292347657511,0.704086616892118,5.89517634290707e-103,172.098730744593
119,190718,1,4,1,2,1,20,20,0,0,0.82886476126737,2.2712411027017,-0.534251252724689,0.633713177575561,2.99798611601642e-87,155.952811890875
120,190718,1,4,2,1,1,20,20,0,0,0.529338500113721,1.77912643756125,-0.10948117988647,0.517892960903419,6.31370117600772e-21,43.1506841462071
