LTR,date,expNo,sessionNo,ratNo,trialNo,closed,offset,duration,delay,jitter,r,theta,X,Y,pval,z
99,181124,1,1,1,1,0,40,20,0,0,0.0556889640200376,2.9376398307036,-0.0545347333087723,0.0112793429137571,0.525180838466521,0.645062228434008
99,181124,1,1,1,2,0,40,20,0,0,0.12582365377523,-1.85004617012119,-0.0346813560929542,-0.120949557208378,0.269468987456013,1.31402212349596
100,181124,1,1,2,1,0,40,20,0,0,0.0472491291889314,-1.72025746815866,-0.0070356458968852,-0.0467223704014037,0.633307768281596,0.457658442868027
100,181124,1,1,2,2,0,40,20,0,0,0.0126684416902475,-1.24518398006501,0.00405249535641231,-0.0120027786885145,0.98637087603424,0.0138020896778913
99,181124,1,1,1,1,0,20,20,0,0,0.122133958367946,-1.40875346738949,0.0197044381212119,-0.120533974069349,0.0461037013282901,3.07284098004435
99,181124,1,1,1,2,0,20,20,0,0,0.0605383116976748,-0.749951543792685,0.0442972083155789,-0.0412631132932434,0.728104361530932,0.31884518493882
100,181124,1,1,2,1,0,20,20,0,0,0.0234499690339713,-2.72771742341308,-0.0214700702656209,-0.00943064846569499,0.890189749981487,0.116579022111173
100,181124,1,1,2,2,0,20,20,0,0,0.26513831168956,0.156416474810735,0.261901467161945,0.0413030970268736,0.0023641307017674,5.97535756767519
99,181124,1,1,1,1,0,0,20,0,1,0.0769394351657804,-0.866706993555765,0.0498059729288324,-0.0586433435629462,0.28371171529786,1.26089113361305
99,181124,1,1,1,2,0,0,20,0,1,0.0580856793679149,-1.52631208554308,0.00258304526868727,-0.0580282174874614,0.749219654556679,0.29015936869637
100,181124,1,1,2,1,0,0,20,0,1,0.111142948051204,0.237323181056513,0.108027698019371,0.0261298940324696,0.0727517521260234,2.61878403912066
100,181124,1,1,2,2,0,0,20,0,1,0.0937175028702752,0.500818744754833,0.0822080320370043,0.044997886759746,0.471136984205212,0.755335449604644
99,181124,1,1,1,1,0,0,20,0,0,0.0692172606811397,-2.03706507480985,-0.0311170676905555,-0.0618284503650401,0.360841691862077,1.02048921453078
99,181124,1,1,1,2,0,0,20,0,0,0.0753763872013749,-0.999486538139162,0.0407585978103208,-0.0634061231433377,0.614788367786075,0.488617578287717
100,181124,1,1,2,1,0,0,20,0,0,0.0359209473803691,2.37819105321605,-0.0259524673079985,0.0248351344133773,0.759137658797041,0.276127294590494
100,181124,1,1,2,2,0,0,20,0,0,0.0704646506304489,-0.0407914761394367,0.0704060341241761,-0.00287356005271761,0.653726062545602,0.427012961008525
99,181124,1,1,1,1,0,0,20,20,0,0.0953490792203071,-0.0230255375621086,0.0953238044698523,-0.00219526981343266,0.144231807832543,1.93647819143816
99,181124,1,1,1,2,0,0,20,20,0,0.0697947713869052,0.594244227721379,0.0578299848907138,0.0390768852455026,0.659011894077982,0.418932669713731
100,181124,1,1,2,1,0,0,20,20,0,0.0521005509573415,-1.1441705908266,0.0215592780427513,-0.0474306329320396,0.561458372423653,0.578181558342469
100,181124,1,1,2,2,0,0,20,20,0,0.0908230524002094,0.80579904964346,0.0628981457133801,0.06551831891242,0.493248520963826,0.709399108867041
99,181124,1,1,1,1,0,0,20,40,0,0.0845248277329038,2.38261340224186,-0.0613260461949858,0.0581683983049863,0.218512538590303,1.52176710519801
99,181124,1,1,1,2,0,0,20,40,0,0.0907377135730777,-0.67944073668752,0.0705870685038846,-0.0570157734710122,0.49390508984243,0.70806660914441
100,181124,1,1,2,1,0,0,20,40,0,0.0597505118126965,1.13502986654745,0.0252210111408104,0.0541666341848403,0.467979581009236,0.760436339980267
100,181124,1,1,2,2,0,0,20,40,0,0.10025672723816,2.44185927824011,-0.0766977923531903,0.0645667097245452,0.422498194387607,0.864421376659583
99,181124,1,1,1,1,0,0,20,60,0,0.103226391687409,-0.851591204588808,0.0680041914858121,-0.0776602722192196,0.103272718577617,2.26966153139089
99,181124,1,1,1,2,0,0,20,60,0,0.129019902237422,0.991589739688119,0.0706203471220642,0.107976394391149,0.239501370360047,1.43156762490843
100,181124,1,1,2,1,0,0,20,60,0,0.0916100185123401,-3.09634646758103,-0.0915162616994353,-0.00414358979530803,0.168853516559717,1.77918784426824
100,181124,1,1,2,2,0,0,20,60,0,0.0847767301452803,-2.02595162970357,-0.0372680041072732,-0.0761458458747813,0.540309788518656,0.618090081774808
99,181124,1,2,1,1,0,40,20,0,0,0.0261031262591612,2.03060213012115,-0.0115838910543309,0.0233920214719273,0.986790774634417,0.0136274640100343
99,181124,1,2,1,2,0,40,20,0,0,0.203588050115885,0.00794665637903605,0.20358162192344,0.00161782724956757,0.61746613652047,0.497377129799857
99,181124,1,2,1,3,0,40,20,0,0,0.1440225437549,-3.10486262587817,-0.143925404634258,-0.00528876266219991,0.179034439196358,1.72162692809946
99,181124,1,2,1,4,0,40,20,0,0,0.0332797637105755,2.45871702318526,-0.0258171537560544,0.0210004105809383,0.789364683346585,0.237014131943192
100,181124,1,2,2,1,0,40,20,0,0,0.54788102550813,-0.867302393215211,0.354416596536639,-0.417806766593393,0.0329972649672492,3.30190979923024
100,181124,1,2,2,2,0,40,20,0,0,0.218462214135426,1.0913703452137,0.10077005416927,0.193832750554892,0.631561917330975,0.477257390049527
100,181124,1,2,2,3,0,40,20,0,0,0.0859710050857242,1.06174289718472,0.041898047922805,0.0750704155823581,0.534883114182233,0.628236165813218
100,181124,1,2,2,4,0,40,20,0,0,0.0996248846208268,1.44735197048963,0.0122669193497965,0.0988667806969491,0.120713683607747,2.11405005640688
99,181124,1,2,1,2,0,20,20,0,0,0.440056045645911,0.809100584683208,0.303704499021079,0.318453922230314,0.118033676354443,2.13014255640467
99,181124,1,2,1,3,0,20,20,0,0,0.102760973743148,0.839874917391224,0.068598700736977,0.0765116721934548,0.400175960753994,0.918704142043681
99,181124,1,2,1,4,0,20,20,0,0,0.0989355878263275,0.637341041278203,0.0795126361925487,0.0588726695865946,0.1280071896783,2.0555326130936
100,181124,1,2,2,2,0,20,20,0,0,0.3118087032243,-2.68842692586197,-0.280336482011202,-0.136514190690941,0.287695606678796,1.26392067628345
100,181124,1,2,2,3,0,20,20,0,0,0.100806987449905,0.872400022712278,0.0648179135962361,0.0772054842336741,0.435906727800742,0.833287994935468
100,181124,1,2,2,4,0,20,20,0,0,0.0622166400527162,2.31282739796636,-0.0420451593254383,0.0458597304478314,0.438951300991412,0.82450389378269
99,181124,1,2,1,2,0,0,20,0,1,0.19509610866405,1.44712156538105,0.0240670024413431,0.193605968423866,0.66762252359805,0.418687407774401
99,181124,1,2,1,3,0,0,20,0,1,0.0983567982722684,-1.29680478050307,0.0266130124368418,-0.0946879471496146,0.453682296475468,0.793272900842479
99,181124,1,2,1,4,0,0,20,0,1,0.144732441869731,-0.417175235145549,0.132319771299707,-0.0586426282900794,0.0118824262599308,4.41991822294034
100,181124,1,2,2,3,0,0,20,0,1,0.13955665800523,-2.59415209708376,-0.119161780555214,-0.0726397332628612,0.195106443263044,1.63598910666145
100,181124,1,2,2,4,0,0,20,0,1,0.0506652384731385,-1.06348261981318,0.0246147455418595,-0.044284090726236,0.582343366782599,0.541629908192939
