LTR,date,expNo,sessionNo,ratNo,trialNo,closed,offset,duration,delay,jitter,r,theta,X,Y,pval,z
129,200817,2,1,1,1,0,40,20,0,0,0.029945156353484,-3.0189932944816,-0.0297203912185403,-0.00366206701898205,0.69947838119213,0.357788243224807
129,200817,2,1,1,2,0,40,20,0,0,0.132199382540741,-1.92051371185535,-0.045295780217463,-0.124197298837956,0.0608242349459075,2.79626827906451
129,200817,2,1,1,3,0,40,20,0,0,0.151795368201317,-2.40437288688168,-0.112380240568415,-0.102041733311222,0.636297375439041,0.460836676147469
129,200817,2,1,1,5,0,40,20,0,0,0.151795368201317,-2.40437288688168,-0.112380240568415,-0.102041733311222,0.636297375439041,0.460836676147469
130,200817,2,1,2,1,0,40,20,0,0,0.0201744706190618,1.37936869384233,0.00383840776519752,0.019805955937229,0.850262705186996,0.162396696638995
130,200817,2,1,2,2,0,40,20,0,0,0.0218201013077104,-0.935083835659679,0.0129557063211594,-0.0175575196083791,0.926862215124034,0.0761786913725995
130,200817,2,1,2,3,0,40,20,0,0,0.191062851001175,-0.62286977723696,0.155182712285982,-0.111460032479195,0.487438985454689,0.730100260653943
130,200817,2,1,2,4,0,40,20,0,0,0.0218201013077104,-0.935083835659679,0.0129557063211594,-0.0175575196083791,0.926862215124034,0.0761786913725995
130,200817,2,1,2,6,0,40,20,0,0,0.191062851001175,-0.62286977723696,0.155182712285982,-0.111460032479195,0.487438985454689,0.730100260653943
129,200817,2,1,1,1,0,20,20,0,0,0.0588028318338171,0.941108641424029,0.0346285390249708,0.0475251230053353,0.251801316648148,1.37965143963879
129,200817,2,1,1,2,0,20,20,0,0,0.0174879451212598,2.56918383198493,-0.0147003431747631,0.00947249360561366,0.952387027676562,0.0489325159302712
129,200817,2,1,1,3,0,20,20,0,0,0.103242506685516,-0.342288655884684,0.0972533014954162,-0.0346527132408207,0.811792113538959,0.213180303734177
129,200817,2,1,1,5,0,20,20,0,0,0.103242506685516,-0.342288655884684,0.0972533014954162,-0.0346527132408207,0.811792113538959,0.213180303734177
130,200817,2,1,2,1,0,20,20,0,0,0.0295996383240807,2.028371899553,-0.0130763621731159,0.0265546105457017,0.70523930634164,0.34957929697764
130,200817,2,1,2,2,0,20,20,0,0,0.0529604176265372,0.793529699418078,0.037142920500057,0.037751944213559,0.639107197491672,0.448768933628356
130,200817,2,1,2,3,0,20,20,0,0,0.0948431902334617,-0.986916518240209,0.0522837425429203,-0.0791305313982299,0.838706882858443,0.179904614673212
130,200817,2,1,2,4,0,20,20,0,0,0.0529604176265372,0.793529699418078,0.037142920500057,0.037751944213559,0.639107197491672,0.448768933628356
130,200817,2,1,2,6,0,20,20,0,0,0.0948431902334617,-0.986916518240209,0.0522837425429203,-0.0791305313982299,0.838706882858443,0.179904614673212
129,200817,2,1,1,1,0,0,20,0,1,0.0153805305937922,0.744809066878545,0.0113080327333657,0.0104254072845001,0.910032325729284,0.0943877278172845
129,200817,2,1,1,2,0,0,20,0,1,0.0478135450538412,-1.76330365444357,-0.00914771159118007,-0.0469303149708192,0.694301168426965,0.365781614498513
129,200817,2,1,1,3,0,0,20,0,1,0.243338707723018,0.810749896789014,0.167649443350173,0.176372874390269,0.309701930954119,1.18427453352617
129,200817,2,1,1,5,0,0,20,0,1,0.200305614395118,-1.80691721198882,-0.0468580764546427,-0.194747682474469,0.453620000286833,0.802446783164112
130,200817,2,1,2,1,0,0,20,0,1,0.0517402255133983,-2.77377796433527,-0.0482795992011095,-0.0186046025799407,0.343860367111739,1.06814332353475
130,200817,2,1,2,2,0,0,20,0,1,0.00398302242815695,0.197719679998374,0.00390542143716476,0.000782400831629942,0.997472781530293,0.0025383148261122
130,200817,2,1,2,3,0,0,20,0,1,0.379653208388948,2.1430493264271,-0.205592645261803,0.319168016653105,0.0541430652858093,2.88273117280044
130,200817,2,1,2,4,0,0,20,0,1,0.0326829326241064,0.166318085112942,0.0322319408361975,0.00541073699635689,0.843309987597834,0.170907853585901
130,200817,2,1,2,6,0,0,20,0,1,0.318044163503016,-2.59230677074426,-0.27125909247624,-0.166043954082344,0.132173506184652,2.02304179876666
129,200817,2,1,1,1,0,0,20,0,0,0.0832917457467078,2.41059271741498,-0.0620113046459133,0.0556067712211916,0.0622651681791209,2.77500596381368
129,200817,2,1,1,2,0,0,20,0,0,0.00160128032735152,2.091832691782,-0.00079708411759947,0.00138879645601278,0.999591105625107,0.000410255789882078
129,200817,2,1,1,3,0,0,20,0,0,0.0996981427566666,3.05145607436696,-0.099293412979832,0.00897428592954354,0.823323030702386,0.198794393382573
129,200817,2,1,1,5,0,0,20,0,0,0.0996981427566666,3.05145607436696,-0.099293412979832,0.00897428592954354,0.823323030702386,0.198794393382573
130,200817,2,1,2,1,0,0,20,0,0,0.0360551916041303,-1.36248968469737,0.00745633784771596,-0.035275768843659,0.594811916116743,0.519990736644218
130,200817,2,1,2,2,0,0,20,0,0,0.0865432940591201,0.713177531796059,0.065451553389029,0.056620101603286,0.302142436018361,1.19835867945653
130,200817,2,1,2,3,0,0,20,0,0,0.201316835032645,-2.69954045393736,-0.181965384279695,-0.086122395412019,0.449969037491385,0.810569361351227
130,200817,2,1,2,4,0,0,20,0,0,0.0865432940591201,0.713177531796059,0.065451553389029,0.056620101603286,0.302142436018361,1.19835867945653
130,200817,2,1,2,6,0,0,20,0,0,0.201316835032645,-2.69954045393736,-0.181965384279695,-0.086122395412019,0.449969037491385,0.810569361351227
129,200817,2,1,1,1,0,0,20,20,0,0.0433056792884502,-1.18078274287256,0.0164648616609025,-0.0400535914634562,0.473458657661972,0.748277361595008
129,200817,2,1,1,2,0,0,20,20,0,0.0616435111116358,0.799766941509321,0.0429577525403271,0.0442103376921551,0.545164971644754,0.607987593947259
129,200817,2,1,1,3,0,0,20,20,0,0.192126045664471,-0.990244918672059,0.105378270631956,-0.16064817926539,0.483510556090828,0.738248348453331
129,200817,2,1,1,5,0,0,20,20,0,0.192126045664471,-0.990244918672059,0.105378270631956,-0.16064817926539,0.483510556090828,0.738248348453331
130,200817,2,1,2,1,0,0,20,20,0,0.0317780990738206,2.55614055188712,-0.0264858491456566,0.0175598227718585,0.668628762620453,0.402929184717478
130,200817,2,1,2,2,0,0,20,20,0,0.160265451134975,2.01780555883909,-0.0692780370273473,0.144518401641917,0.0161912891583668,4.10960237239953
130,200817,2,1,2,3,0,0,20,20,0,0.113279220418559,0.39083316444593,0.104737058632242,0.0431547254388528,0.777903126804808,0.256643635572729
130,200817,2,1,2,4,0,0,20,20,0,0.160265451134975,2.01780555883909,-0.0692780370273473,0.144518401641917,0.0161912891583668,4.10960237239953
130,200817,2,1,2,6,0,0,20,20,0,0.113279220418559,0.39083316444593,0.104737058632242,0.0431547254388528,0.777903126804808,0.256643635572729
129,200817,2,1,1,1,0,0,20,40,0,0.0717998571602484,1.10986950520448,0.0319350253705658,0.0643068708833931,0.127836132753102,2.0569325758046
129,200817,2,1,1,2,0,0,20,40,0,0.102606638928775,2.41249369456097,-0.0765214637494963,0.0683563306350963,0.185691721686258,1.68449957636161
129,200817,2,1,1,3,0,0,20,40,0,0.258456609936584,1.36689720679759,0.0523346742763271,0.253102550536936,0.265852085133757,1.33599638439823
129,200817,2,1,1,5,0,0,20,40,0,0.258456609936584,1.36689720679759,0.0523346742763271,0.253102550536936,0.265852085133757,1.33599638439823
130,200817,2,1,2,1,0,0,20,40,0,0.056385295274482,-1.97457555818168,-0.0221535826665111,-0.0518509430794521,0.281405178928132,1.26854130775302
130,200817,2,1,2,2,0,0,20,40,0,0.148985276145966,-2.48030067713748,-0.11757909648086,-0.0914973692465215,0.0284349404035726,3.55145800132636
130,200817,2,1,2,3,0,0,20,40,0,0.126065984522457,-3.04609004692621,-0.125491513325056,-0.0120213367394685,0.732507420025129,0.317852649072329
130,200817,2,1,2,4,0,0,20,40,0,0.148985276145966,-2.48030067713748,-0.11757909648086,-0.0914973692465215,0.0284349404035726,3.55145800132636
