LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmHz,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
74,180718,2,1,,,450,2,1,0,30,1,50,1,5,0,5,25,10,,
74,180718,2,1,,,450,2,1,1,30,1,50,1,5,0,4,37,33,,
74,180718,2,1,,,425,2,1,0,30,8,50,1,4,0,14,44,30,,
74,180718,2,1,,,425,2,1,1,30,8,50,1,4,0,17,58,34,,
74,180718,2,1,,,400,2,1,0,30,20,50,1,4,0,15,52,36,,
74,180718,2,1,,,400,2,1,1,30,20,50,1,4,0,15,54,37,,
74,180718,2,1,,,400,2,1,0,30,1,50,1,3,0,19,74,44,,
74,180718,2,1,,,400,2,1,1,30,1,50,1,2,0,0,10,0,,
74,180718,2,1,,,450,2,1,0,30,8,50,1,3,0,15,21,6,,
74,180718,2,1,,,450,2,1,1,30,8,50,1,4,0,13,90,40,,
74,180718,2,1,,,450,2,1,0,30,20,50,1,4,0,23,79,41,,
74,180718,2,1,,,450,2,1,1,30,20,50,1,2,0,0,13,0,,
74,180718,2,1,,,450,2,1,0,30,1,50,1,2,0,0,19,0,,
74,180718,2,1,,,450,2,1,1,30,1,50,1,3,0,17,84,37,,
74,180718,2,1,,,450,2,1,0,30,8,50,1,4,0,28,78,38,,
74,180718,2,1,,,450,2,1,1,30,8,50,1,2,0,0,12,0,,
74,180718,2,1,,,450,2,1,0,30,20,50,1,2,0,0,17,0,,
74,180718,2,1,,,450,2,1,1,30,20,50,1,4,0,31,91,39,,
74,180719,2,1,,,450,2,1,1,25,20,50,1,3,0,19,34,15,,
74,180719,2,1,,,450,2,1,0,25,20,50,1,5,0,12,33,21,,
74,180719,2,1,,,450,2,1,1,25,8,50,1,5,0,6,47,28,,
74,180719,2,1,,,450,2,1,0,25,8,50,1,4,0,24,48,24,,
74,180719,2,1,,,450,2,1,1,25,1,50,1,3,0,19,59,31,,
74,180719,2,1,,,450,2,1,0,25,1,50,1,3,0,8,62,40,,
74,180719,2,1,,,450,2,1,1,25,20,50,1,5,0,16,42,26,,
74,180719,2,1,,,450,2,1,0,25,20,50,1,4,0,24,54,30,,
74,180719,2,1,,,450,2,1,1,25,8,50,1,4,0,24,46,22,,
74,180719,2,1,,,450,2,1,0,25,8,50,1,5,0,19,41,22,,
74,180719,2,1,,,450,2,1,1,25,1,50,1,4,0,24,57,33,,
74,180719,2,1,,,450,2,1,0,25,1,50,1,4,0,16,34,18,,
74,180719,2,1,,,450,2,1,1,25,20,50,1,3,0,25,70,5,,
74,180719,2,1,,,450,2,1,0,25,20,50,1,2,0,0,14,0,,
74,180719,2,1,,,450,2,1,1,25,8,50,1,3,0,0,18,0,,
74,180719,2,1,,,450,2,1,0,25,8,50,1,2,0,0,38,0,,
74,180719,2,1,,,450,2,1,1,25,1,50,1,3,0,40,56,16,,
74,180719,2,1,,,450,2,1,0,25,1,50,1,3,0,0,44,0,,
74,180720,2,1,,,200,2,0,0,30,1,50,0,0,0,0,0,0,,
74,180720,2,1,,,200,2,0,1,30,1,50,0,0,0,0,0,0,,
74,180720,2,1,,,250,2,0,0,30,1,50,1,0,0,0,14,0,,
74,180720,2,1,,,250,2,0,1,30,1,50,0,0,0,0,0,0,,
74,180720,2,1,,,300,2,0,0,30,1,50,1,1,0,0,14,0,,
74,180720,2,1,,,300,2,0,1,30,1,50,1,1,0,0,15,0,,
74,180721,1,1,,,200,2,0,0,25,20,50,1,0,0,0,12,0,,
74,180721,1,1,,,200,2,0,1,25,20,50,0,0,0,0,0,0,,
74,180721,1,1,,,225,2,0,1,25,20,50,0,0,0,0,0,0,,
74,180721,1,1,,,225,2,0,0,25,20,50,0,0,0,0,0,0,,
74,180721,1,1,,,250,2,0,0,25,20,50,1,0,0,0,0,0,,
74,180721,1,1,,,250,2,0,1,25,20,50,1,1,0,0,13,0,,
74,180721,1,1,,,200,2,0,0,30,8,50,0,0,0,0,0,0,,
74,180721,1,1,,,200,2,0,1,30,8,50,0,0,0,0,0,0,,
74,180721,1,1,,,225,2,0,0,30,8,50,0,0,0,0,0,0,,
74,180721,1,1,,,225,2,0,1,30,8,50,0,0,0,0,0,0,,
74,180721,1,1,,,250,2,0,0,30,8,50,0,1,0,0,15,0,,
74,180721,1,1,,,250,2,0,1,30,8,50,0,1,0,0,13,0,,
74,180721,1,1,,,200,2,0,0,30,1,50,0,0,0,0,0,0,,
74,180721,1,1,,,200,2,0,1,30,1,50,0,0,0,0,0,0,,
74,180721,1,1,,,225,2,0,0,30,1,50,0,0,0,0,20,0,,
74,180721,1,1,,,225,2,0,1,30,1,50,0,0,0,0,12,0,,
74,180721,1,1,,,250,2,0,0,30,1,50,0,1,0,0,15,0,,
74,180721,1,1,,,250,2,0,1,30,1,50,0,1,0,0,13,0,,
