LTR,date,expNo,sessionNo,ratNo,trialNo,closed,offset,duration,delay,jitter,r,theta,X,Y,pval,z
119,190716,1,2,1,1,0,40,60,0,0,0.0631766645027015,-0.649109596387699,0.0503279425031506,-0.0381888614793171,0.202682721758699,1.59651637507476
119,190716,1,2,1,2,0,40,60,0,0,0.119466997497713,-2.31376045679707,-0.0808163013062105,-0.0879834582992874,0.101815383858757,2.28357815857898
119,190716,1,2,1,3,0,40,60,0,0,0.119242995737831,0.625911450647311,0.0966380408705935,0.0698568614326894,0.10269372469045,2.27502272520519
119,190716,1,2,1,4,0,40,60,0,0,0.16722303578588,0.927272111260725,0.100336912628229,0.133776110205376,0.577348104554553,0.559270873948914
119,190716,1,2,1,5,0,40,60,0,0,0.0916105749120867,1.69932671403511,-0.0117423495270618,0.0908549099570703,0.261474314034711,1.34279958971569
119,190716,1,2,1,6,0,40,60,0,0,0.0353827151903004,-0.110828121641287,0.0351656368317946,-0.00391337711602689,0.606345288176273,0.500774613695165
120,190716,1,2,2,1,0,40,60,0,0,0.0744819822683907,0.74282513669815,0.0548604979235554,0.050377489518717,0.108681846714528,2.21902627305155
120,190716,1,2,2,2,0,40,60,0,0,0.019541373849346,-1.949634084777,-0.00722719901956716,-0.0181557948394299,0.94090425899781,0.0610984467071845
120,190716,1,2,2,3,0,40,60,0,0,0.207435567377826,-2.68314633124844,-0.186016012976521,-0.0918017294481955,0.428108907520217,0.860590292267216
120,190716,1,2,2,4,0,40,60,0,0,0.324149215776006,-2.22800182861087,-0.198024969535723,-0.256629744044947,0.121943816552138,2.10145428176399
120,190716,1,2,2,5,0,40,60,0,0,0.0645268033816242,-2.90316737652297,-0.0627014101988351,-0.0152394722260387,0.514373105303806,0.666193336744125
119,190716,1,2,1,1,0,20,40,0,0,0.011703520350691,-0.631342306015715,0.00944750257989376,-0.00690775532296408,0.9467479059815,0.0547889554396151
119,190716,1,2,1,2,0,20,40,0,0,0.0740183728037363,-1.82631219888576,-0.0187077414759295,-0.0716152212967514,0.41683825346876,0.876595122002061
119,190716,1,2,1,3,0,20,40,0,0,0.052647906994118,0.465537087898,0.0470451480173515,0.0236337927317387,0.6424851171314,0.443488337737808
119,190716,1,2,1,4,0,20,40,0,0,0.43740580860664,0.0179635398866834,0.43733523753423,0.00785693411626901,0.0198291801271541,3.82647682805658
119,190716,1,2,1,5,0,20,40,0,0,0.107140980136197,1.51879365503701,0.00556910636117554,0.10699614328976,0.159422018505517,1.8366703399272
119,190716,1,2,1,6,0,20,40,0,0,0.0409071858821798,-0.810646377857436,0.0281862834326691,-0.0296467752555392,0.512321613386257,0.669359142719685
120,190716,1,2,2,1,0,20,40,0,0,0.042436068576212,-0.16996188071124,0.0418246164007658,-0.00717783944747717,0.486872959538078,0.720327966481986
120,190716,1,2,2,2,0,20,40,0,0,0.0613311657372378,2.44072333353569,-0.0468742978548236,0.039551385453683,0.548521533022869,0.601841902510164
120,190716,1,2,2,3,0,20,40,0,0,0.0541979272187385,-1.46198811567961,0.00588555005220066,-0.0538774128498271,0.944258289451103,0.0587483062961536
120,190716,1,2,2,4,0,20,40,0,0,0.120735081095335,1.43035317743104,0.0169007278010713,0.119546330796438,0.751696995169737,0.291539196141944
120,190716,1,2,2,5,0,20,40,0,0,0.0691195970754307,2.51523949197346,-0.0559986686221452,0.0405175000761036,0.466298958297268,0.764402991979182
119,190716,1,2,1,1,0,0,20,0,1,0.0646129465989927,-0.335505375354434,0.0610103895520702,-0.0212735806790706,0.189113262219171,1.66575831441351
119,190716,1,2,1,2,0,0,20,0,1,0.0449839530563779,0.102448696525306,0.0447480896266575,0.00460048990250374,0.724029770708265,0.323768965212546
119,190716,1,2,1,3,0,0,20,0,1,0.122038513211359,0.116464770737377,0.121211780522316,0.0141810778662613,0.0921464777381885,2.38294379309427
119,190716,1,2,1,4,0,0,20,0,1,0.181651680257299,1.90965247196982,-0.0603825625086825,0.171322150013316,0.522574988254721,0.659946658806002
119,190716,1,2,1,5,0,0,20,0,1,0.0813125424059644,0.676828689774246,0.0633882416126262,0.0509279920847179,0.347733400118287,1.05787672840348
119,190716,1,2,1,6,0,0,20,0,1,0.101224548671024,-1.45748442868816,0.0114454166044579,-0.100575403018844,0.0165071723036379,4.09856370146097
120,190716,1,2,2,1,0,0,20,0,1,0.0837712507527094,-0.269963610165825,0.0807371064841334,-0.0223414880713669,0.0607226737637239,2.80003135861665
120,190716,1,2,2,2,0,0,20,0,1,0.100637294583551,-2.3970071818291,-0.074005534370432,-0.0681985772845972,0.197998552718614,1.62045840977542
120,190716,1,2,2,3,0,0,20,0,1,0.224714167412448,-0.806266792698579,0.155546593016579,-0.162178033151238,0.36882639373697,1.00992914071739
120,190716,1,2,2,4,0,0,20,0,1,0.288431076218378,2.41312988337808,-0.2152268806606,0.192015300352861,0.190759639556706,1.66384971456983
120,190716,1,2,2,5,0,0,20,0,1,0.123463138006546,-0.565967657656393,0.104211543968285,-0.0662049888616377,0.0871100028903667,2.43890343142773
119,190716,1,2,1,1,0,0,20,0,0,0.0209819576138773,-0.668753074888275,0.0164623469935628,-0.0130089844635959,0.838704797579198,0.176097018124218
119,190716,1,2,1,2,0,0,20,0,0,0.0699555120343438,-1.01298803820369,0.0370294102186526,-0.0593514653807803,0.457711652575464,0.783003786237956
119,190716,1,2,1,3,0,0,20,0,0,0.0596897665393659,-1.18997881452973,0.0221854649766416,-0.0554136569204219,0.566211862581877,0.570058916723841
119,190716,1,2,1,4,0,0,20,0,0,0.418997769883674,-0.58417260521126,0.349514819708122,-0.231081202117116,0.0278195067168588,3.51118262334984
119,190716,1,2,1,5,0,0,20,0,0,0.0704178386582802,0.0889373522985356,0.070139524819353,0.00625452311682862,0.452986620172606,0.793387520208573
119,190716,1,2,1,6,0,0,20,0,0,0.026810010417805,-2.05842591831058,-0.012561376719731,-0.0236851952389633,0.750359230608663,0.287510663441125
120,190716,1,2,2,1,0,0,20,0,0,0.0219555482717001,0.0735510712830352,0.0218961879150178,0.00161339849422943,0.824811112581628,0.192818439964381
120,190716,1,2,2,2,0,0,20,0,0,0.0876794486772527,2.4932205022927,-0.0698864736140324,0.0529487160008828,0.292717051300625,1.23002971525552
