LTR,date,expNo,sessionNo,ratNo,trialNo,closed,offset,duration,delay,jitter,r,theta,X,Y,pval,z
127,200817,1,1,1,1,0,40,20,0,0,0.359741798948106,-0.211793355875359,0.351703548107036,-0.0756225902713061,0.0962771335054584,2.32945491438756
127,200817,1,1,1,2,0,40,20,0,0,0.257694393893906,1.68529006439256,-0.0294399752731171,0.256007204000719,0.00332342131816307,5.64454405476952
127,200817,1,1,1,3,0,40,20,0,0,0.0386231202788185,1.98070712916499,-0.0153923763932619,0.0354234409542641,0.550914811077121,0.596698168028831
128,200817,1,1,2,1,0,40,20,0,0,0.619010412828177,2.26263484865796,-0.39490020498393,0.476684087518516,0.00488734583741534,4.98126058546623
128,200817,1,1,2,2,0,40,20,0,0,0.0517281001257126,-3.00636283944188,-0.0512558419323674,-0.0069738805854357,0.803940653704788,0.219415300094491
128,200817,1,1,2,3,0,40,20,0,0,0.0306534317227152,-2.49013430676265,-0.0243756205738764,-0.0185866080288357,0.687610957051426,0.374913517675287
127,200817,1,1,1,2,0,20,20,0,0,0.251695744746686,1.52983245960653,0.0103075477517077,0.251484596711082,0.00434013577543355,5.38481357350507
127,200817,1,1,1,3,0,20,20,0,0,0.0562029185374314,-0.540700821260177,0.0481854684196972,-0.0289297197583992,0.283720929803064,1.26034845279793
128,200817,1,1,2,1,0,20,20,0,0,0.0524836368242095,2.9824445399758,-0.0518203825343233,0.00831745684039979,0.971415733864105,0.0302998534772507
128,200817,1,1,2,2,0,20,20,0,0,0.120126046094208,-1.27507547012632,0.0350082725567107,-0.114911652162968,0.29411665652317,1.22657269076936
128,200817,1,1,2,3,0,20,20,0,0,0.0672873068757241,-2.19216497645602,-0.0391712068166804,-0.0547101290723456,0.164263103435065,1.80650508496856
127,200817,1,1,1,1,0,0,20,0,1,0.394713611737224,2.87827423961004,-0.381108448949183,0.102738432099152,0.0810312099942426,2.4927813646503
127,200817,1,1,1,2,0,0,20,0,1,0.134915969743745,-3.05397697416417,-0.134398459214919,-0.0118056364737796,0.221228442695703,1.5107924680273
127,200817,1,1,1,3,0,0,20,0,1,0.0656707165528607,1.96571227519528,-0.0252655347144928,0.0606159695802759,0.179761211485743,1.71643191900134
128,200817,1,1,2,1,0,0,20,0,1,0.32669474126045,-1.89085277787477,-0.102784747022678,-0.310104417489845,0.253878971956274,1.38748290157402
128,200817,1,1,2,2,0,0,20,0,1,0.156977334118907,2.21456722629307,-0.0942202778636587,0.125556452109695,0.123052227241405,2.09456009130172
128,200817,1,1,2,3,0,0,20,0,1,0.0411501907686187,2.47032794733021,-0.0322220673790041,0.0255944637395792,0.50997811273499,0.673948603716899
127,200817,1,1,1,1,0,0,20,0,0,0.543460109137983,2.63973108183804,-0.476445258735495,0.261436045052583,0.00705319772892409,4.7255822435883
127,200817,1,1,1,2,0,0,20,0,0,0.438997633132976,1.42033024094194,0.0658052923526893,0.434037539153852,5.37582060721441e-08,15.9956705173974
127,200817,1,1,1,3,0,0,20,0,0,0.0427901685859823,-1.50691982628003,0.00273142787580022,-0.0427029018847207,0.481033020482465,0.732399411046713
128,200817,1,1,2,1,0,0,20,0,0,0.382422090705363,-2.51674464670565,-0.310164217149944,-0.223706982142317,0.149948249142486,1.90120652097299
128,200817,1,1,2,2,0,0,20,0,0,0.148761997164268,1.23831948764729,0.0485537181766465,0.140615320116709,0.152529121067743,1.88106120302564
128,200817,1,1,2,3,0,0,20,0,0,0.0482852463912868,-0.344077794197392,0.0454551003148631,-0.0162879978644711,0.393779606445564,0.932586007626911
127,200817,1,1,1,1,0,0,20,20,0,0.557471663973527,-1.70919970497185,-0.0769098705761331,-0.552140858786393,0.00531451420299241,4.97239449813462
127,200817,1,1,1,2,0,0,20,20,0,0.57973464854658,-2.1770481069725,-0.33032771394706,-0.476419840187136,5.58067480828132e-14,27.8956578062104
127,200817,1,1,1,3,0,0,20,20,0,0.0242675365315574,0.223543790171171,0.0236637107917023,0.00537978818143834,0.790794766378467,0.234976418394878
128,200817,1,1,2,1,0,0,20,20,0,0.477430189287648,-0.881090811611412,0.303793620161281,-0.368305609504583,0.0486715863458195,2.96321461336211
128,200817,1,1,2,2,0,0,20,20,0,0.164877647588377,-2.52127725318373,-0.13416014341585,-0.0958420293655943,0.0989815079160319,2.31069428731354
128,200817,1,1,2,3,0,0,20,20,0,0.0457020949691675,2.33178806030187,-0.0315179905059924,0.033095283033009,0.434840984592781,0.83338391234375
