LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmHz,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
93,181005,1,1,0,30,80,2,1,0,30,1,45,1,5,0,5.4496,63.8264,34.9984,,
93,181005,1,1,32,0,80,2,1,1,30,1,45,1,5,0,6.3216,73.0096,57.7688,,
93,181005,1,1,63,30,75,2,1,0,30,1,45,1,5,0,9.152,59.304,30.2832,,
93,181005,1,1,94,30,75,2,1,1,30,1,45,1,5,0,8.8152,60.5136,46.3816,,
93,181005,1,1,125,30,70,2,1,0,30,1,45,1,5,0,8.5608,73.9328,34.8616,,
93,181005,1,1,156,30,70,2,1,1,30,1,45,1,5,0,8.0808,66.4616,53.1376,,
93,181005,1,1,211,30,65,2,1,0,30,1,45,1,5,0,10.5296,70.5616,52.5832,,
93,181005,1,1,243,0,65,2,1,1,30,1,45,1,4,0,13.6944,85.5096,46.568,,
93,181005,1,1,353,30,65,2,1,0,30,8,45,1,4,0,0,6.524,0,,
93,181005,1,1,385,0,65,2,1,1,30,8,45,1,5,0,17.6768,73.4152,40.3368,,
93,181005,1,1,417,30,65,2,0,0,30,8,45,0,0,0,0.8304,2.0176,3.4656,,
93,181005,1,1,420,30,65,2,0,1,30,8,45,0,0,0,0,0,0,,
93,181005,1,1,426,30,75,2,0,0,30,20,45,0,0,0,0,0,0,,
93,181005,1,1,433,0,75,2,0,1,30,20,45,0,0,0,0,0,0,,
93,181005,1,1,440,0,80,2,0,0,30,20,45,0,0,0,0,0,0,,
93,181005,1,1,447,30,80,2,0,1,30,20,45,0,0,0,0,0,0,,
93,181005,1,2,0,30,150,2,1,0,30,8,45,1,1,0,1.0216,23.044,2.9064,,
93,181005,1,2,16,30,150,2,1,1,30,8,45,1,1,2,1.3592,68.3704,22.528,,
93,181005,1,2,32,30,150,2,1,0,30,8,45,1,5,0,15.4792,56.6488,33.2648,,
93,181005,1,2,64,0,150,2,1,1,30,8,45,1,1,0,0,16.8024,0,,
93,181005,1,2,79,30,175,2,1,0,30,20,45,1,1,0,0,19.412,0,,
93,181005,1,2,95,30,175,2,1,1,30,20,45,1,1,0,0,14.6792,0,,
93,181005,1,2,112,30,200,2,1,0,30,20,45,1,1,0,0,22.632,0,,
93,181005,1,2,128,0,200,2,1,1,30,20,45,1,1,0,45.9536,76.5888,19.1304,,
93,181006,1,1,0,30,80,2,1,0,30,20,45,1,5,0,9.6904,58.48,38.0968,,
93,181006,1,1,31,30,80,2,1,1,30,20,45,1,5,0,11.1496,70.5536,27.2496,,
93,181006,1,1,63,30,75,2,1,0,30,8,45,1,1,0,0,1.1072,0,,
93,181006,1,1,79,30,75,2,1,1,30,8,45,1,5,0,12.06,57.7416,30.5624,,
93,181006,1,1,147,30,70,2,1,0,30,8,45,1,5,0,0,66.3232,35.444,,
93,181006,1,1,179,30,70,2,1,1,30,8,45,1,1,0,0,1.5736,5.88,,
93,181006,1,1,279,30,70,2,1,0,30,20,45,1,1,0,0.8472,7.532,5.1808,,
93,181006,1,1,294,30,70,2,1,1,30,20,45,1,5,0,0.152,66.284,22.1616,,
93,181006,1,1,325,30,70,2,1,0,30,8,45,1,1,0,0,3.764,7.2256,,
93,181006,1,1,341,30,70,2,1,1,30,8,45,1,1,0,0,0,3.6512,,
93,181006,1,1,388,30,100,2,1,0,30,1,45,1,1,0,1.1496,3.6008,1.0712,,
93,181006,1,1,404,0,100,2,1,1,30,1,45,1,1,0,1.3016,8.8552,2.6688,,
93,181007,1,1,0,30,20,2,0,0,30,1,45,0,0,0,0,0,0,,
93,181007,1,1,6,30,20,2,0,1,30,1,45,0,0,0,0,0,0,,
93,181007,1,1,12,30,25,2,0,0,30,8,45,0,0,0,0,0,0,,
93,181007,1,1,18,30,25,2,0,1,30,8,45,0,0,0,0,0,0,,
93,181007,1,1,24,30,30,2,0,0,30,20,45,0,0,0,0,0,0,,
93,181007,1,1,30,30,30,2,0,1,30,20,45,0,0,0,0,0,0,,
93,181007,1,1,36,30,35,2,0,0,30,1,45,0,0,0,0,0,0,,
93,181007,1,1,42,0,35,2,0,1,30,1,45,0,0,0,0,0,0,,
93,181007,1,1,48,0,40,2,0,0,30,8,45,0,0,0,0,0,0,,
93,181007,1,1,53,30,40,2,0,1,30,8,45,0,0,0,0,0,0,,
93,181007,1,1,59,30,45,2,0,0,30,20,45,0,0,0,0,0,0,,
93,181007,1,1,65,30,45,2,0,1,30,20,45,0,0,0,0,0,0,,
93,181007,1,1,71,30,50,2,0,0,30,1,45,0,0,0,0,0,0,,
93,181007,1,1,77,30,50,2,0,1,30,1,45,0,0,0,0,0,0,,
93,181007,1,1,83,0,55,2,0,0,30,8,45,0,0,0,0,0,0,,
93,181007,1,1,89,0,55,2,0,1,30,8,45,0,0,0,0,0,0,,
93,181007,1,1,95,0,60,2,0,0,30,20,45,0,0,0,0,0,0,,
93,181007,1,1,100,30,60,2,0,1,30,20,45,0,0,0,0,0,0,,
93,181007,1,1,106,30,65,2,0,0,30,1,45,0,0,0,0,0,0,,
