LTR,date,expNo,sessionNo,ratNo,trialNo,closed,offset,duration,delay,jitter,r,theta,X,Y,pval,z
80,180613,1,3,1,1,1,40,20,0,0,0.809887179202321,2.10222623715481,-0.410423740388118,0.698190229351656,1.80300358597406e-05,9.18284140250809
80,180613,1,3,1,2,1,40,20,0,0,0.283586035095106,0.273040677485129,0.273080703282968,0.0764720131514939,0.0639619397300924,2.73431533623272
80,180613,1,3,1,4,1,40,20,0,0,0.185874883099431,1.45323331690351,0.0218017091640787,0.184591867764406,0.669496311244347,0.414593666006725
80,180613,1,3,1,1,1,20,20,0,0,0.331956060130795,2.93615381465748,-0.324975541059649,0.0677179708094458,1.96436545883108e-08,17.300587659637
80,180613,1,3,1,2,1,20,20,0,0,0.620012828891144,0.330317432708832,0.58649458444057,0.201097017410705,3.10580840440587e-29,58.8156339224086
80,180613,1,3,1,3,1,20,20,0,0,0.16942433678315,-2.64172955914402,-0.148694962466299,-0.0812059975097657,0.0434135995132026,3.12880204249072
80,180613,1,3,1,1,1,0,20,0,1,0.0916673926664603,-2.7415830940084,-0.0844309185551312,-0.035697771221798,0.387777840636033,0.949528929244174
80,180613,1,3,1,2,1,0,20,0,1,0.151779182889352,1.78336954301442,-0.0320217484864203,0.148362825473337,0.0351498205836376,3.3403534519911
80,180613,1,3,1,3,1,0,20,0,1,0.066149965530297,-2.96198581241483,-0.065085877436463,-0.0118172119378982,0.855955229985549,0.157529445827741
80,180613,1,3,1,1,1,0,20,0,0,0.761501117109959,1.63766491713746,-0.0508825669988428,0.759799260157131,5.02090009124311e-35,65.5268865036479
80,180613,1,3,1,2,1,0,20,0,0,0.680078777758041,0.652180391139051,0.540501017243444,0.412753914961049,3.52613570225407e-34,67.0635358737462
80,180613,1,3,1,3,1,0,20,0,0,0.0271942943480243,-0.107057946892616,0.0270386007419799,-0.00290580711727229,0.974078783571333,0.0266230672231314
80,180613,1,3,1,1,1,0,20,20,0,0.643697668313893,-2.48035561607867,-0.508027556884393,-0.395290639452565,1.24283366349533e-23,46.82117576578
80,180613,1,3,1,2,1,0,20,20,0,0.540378446245534,2.72634988897227,-0.494456228454473,0.21799519102337,1.28625038072749e-20,42.341285449177
80,180613,1,3,1,3,1,0,20,20,0,0.16804508876583,2.17507308545452,-0.0954776840378626,0.138286527576195,0.364340768808642,1.01660946689937
80,180613,1,3,1,1,1,0,20,40,0,0.520683315634473,-0.858894231410054,0.340149428229695,-0.394220092911459,5.24144928987197e-15,30.6355560153522
