LTR,Date,expNo1,expNo2,EStmDrtn,Laser,illmDrtn,MSillmHz,MSillmInt,ADThrs,sGSThrs
93,180824,2,1,2,0,5,20,45,20,20
93,180824,2,2,2,1,5,20,45,13,13
93,180824,2,3,2,0,5,20,45,17,17
93,180824,2,4,2,1,5,20,45,18,18
93,180825,2,1,2,0,5,20,45,13,13
93,180825,2,1,2,1,5,20,45,28,28
93,180826,2,1,2,0,5,20,45,23,23
93,180826,2,2,2,1,5,20,45,13,13
93,180826,2,3,2,0,5,20,45,18,18
93,180826,2,4,2,1,5,20,45,23,23
93,180826,2,5,2,0,5,20,45,23,23
93,180826,2,6,2,1,5,20,45,23,23
93,180826,2,7,2,0,5,20,45,23,23
93,180826,2,8,2,1,5,20,45,45,45
93,180827,2,1,2,0,60,20,45,28,28
93,180827,2,2,2,1,60,20,45,23,23
93,180827,2,3,2,0,60,20,45,23,23
93,180827,2,4,2,1,60,20,45,23,23
93,180827,2,5,2,0,60,20,45,33,43
93,180827,2,6,2,1,60,20,45,61,500
94,180824,2,1,2,1,5,20,45,5,50
94,180824,2,2,2,0,5,20,45,3,3
94,180824,2,3,2,1,5,20,45,50,50
94,180824,2,4,2,0,5,20,45,0.5,0.5
94,180825,2,1,2,1,5,20,45,0.5,0.5
94,180825,2,1,2,0,5,20,45,25,25
94,180826,2,1,2,1,5,20,45,0.5,0.5
94,180826,2,2,2,0,5,20,45,25,25
94,180826,2,3,2,1,5,20,45,25,25
94,180826,2,4,2,0,5,20,45,25,25
94,180826,2,5,2,1,5,20,45,0.5,0.5
94,180826,2,6,2,0,5,20,45,25,25
94,180826,2,7,2,1,5,20,45,45,45
94,180826,2,8,2,0,5,20,45,0.5,0.5
94,180827,2,1,2,1,60,20,45,55,55
94,180827,2,2,2,0,60,20,45,25,25
94,180827,2,3,2,1,60,20,45,25,25
94,180827,2,4,2,0,60,20,45,35,35
94,180827,2,5,2,1,60,20,45,24,34
94,180827,2,6,2,0,60,20,45,32,32
93,181219,1,1,2,1,60,20,45,48,73
93,181219,1,2,2,0,60,20,45,30,30
93,181219,1,3,2,1,60,20,45,45,45
93,181219,1,4,2,0,60,20,45,28,28
93,181219,1,5,2,1,60,20,45,48,48
93,181219,1,6,2,0,60,20,45,25,45
93,181220,1,1,2,0,60,20,45,30,50
93,181220,1,2,2,1,60,20,45,30,50
93,181220,1,3,2,0,60,20,45,78,78
93,181220,1,4,2,1,60,20,45,73,73
93,181220,1,5,2,0,60,20,45,58,83
93,181220,1,6,2,1,60,20,45,103,103
93,181221,1,1,2,1,60,20,45,168,168
93,181221,1,2,2,0,60,20,45,88,88
93,181221,1,3,2,1,60,20,45,125,125
93,181221,1,4,2,0,60,20,45,130,165
93,181221,1,5,2,1,60,20,45,153,153
93,181221,1,6,2,0,60,20,45,173,173
93,181224,1,1,2,0,60,20,45,75,500
93,181224,1,2,2,1,60,20,45,60,500
93,181224,1,3,2,0,60,20,45,48,275
93,181224,1,4,2,1,60,20,45,63,400
93,181226,1,1,2,1,60,20,45,60,200
93,181226,1,2,2,0,60,20,45,50,150
93,181226,1,3,2,1,60,20,45,45,150
93,181226,1,4,2,0,60,20,45,35,175
93,181227,1,1,2,0,60,20,45,38,88
93,181227,1,2,2,1,60,20,45,48,145
93,181227,1,3,2,0,60,20,45,15,45
93,181227,1,4,2,1,60,20,45,50,70
93,181227,1,5,2,0,60,20,45,45,65
93,181227,1,6,2,1,60,20,45,70,225
93,181227,1,7,2,0,60,20,45,38,188
93,181227,1,8,2,1,60,20,45,85,188
93,181228,1,1,2,1,60,20,45,88,238
93,181228,1,2,2,0,60,20,45,68,200
93,181228,1,3,2,1,60,20,45,98,130
93,181228,1,4,2,0,60,20,45,115,145
93,181229,1,1,2,0,60,20,45,88,288
93,181229,1,2,2,1,60,20,45,75,240
93,181229,1,3,2,0,60,20,45,55,188
93,181229,1,4,2,1,60,20,45,55,370
93,190116,2,1,2,0,5,20,45,75,75
93,190116,2,2,2,1,5,20,45,75,75
93,190116,2,3,2,0,5,20,45,70,70
93,190116,2,4,2,1,5,20,45,23,80
93,190116,2,5,2,0,5,20,45,55,85
93,190116,2,6,2,1,5,20,45,60,90
93,190118,1,1,2,1,5,20,45,25,110
93,190118,1,2,2,0,5,20,45,70,110
93,190118,1,3,2,1,5,20,45,65,105
93,190118,1,4,2,0,5,20,45,145,145
93,190118,1,5,2,1,5,20,45,80,180
93,190118,1,6,2,0,5,20,45,63,108
93,190118,1,7,2,1,5,20,45,153,198
93,190118,1,8,2,0,5,20,45,353,475
93,190118,1,1,2,0,5,20,45,275,275
93,190118,1,2,2,1,5,20,45,225,225
93,190118,1,3,2,0,5,20,45,223,223
93,190118,1,4,2,1,5,20,45,223,223
93,190118,1,5,2,0,5,20,45,240,240
93,190118,1,6,2,1,5,20,45,200,250
106,190612,1,2,2,0,60,20,30,20,20
106,190612,1,3,2,1,60,20,30,23,23
106,190612,1,4,2,0,60,20,30,23,23
106,190612,1,5,2,1,60,20,30,30,30
106,190612,1,6,2,0,60,20,30,20,20
106,190612,1,7,2,1,60,20,30,20,20
107,190612,1,2,2,1,60,20,30,50,50
107,190612,1,3,2,0,60,20,30,38,38
107,190612,1,4,2,1,60,20,30,25,25
107,190612,1,5,2,0,60,20,30,30,30
107,190612,1,6,2,1,60,20,30,35,35
107,190612,1,7,2,0,60,20,30,20,40
106,190614,1,2,2,0,60,20,30,25,25
106,190614,1,3,2,1,60,20,30,23,23
106,190614,1,4,2,0,60,20,30,18,18
106,190614,1,5,2,1,60,20,30,15,15
106,190614,1,6,2,0,60,20,30,8,18
106,190614,1,7,2,1,60,20,30,18,25
107,190614,1,2,2,1,60,20,30,70,70
107,190614,1,3,2,0,60,20,30,45,45
107,190614,1,4,2,1,60,20,30,40,40
107,190614,1,5,2,0,60,20,30,30,50
107,190614,1,6,2,1,60,20,30,75,75
107,190614,1,7,2,0,60,20,30,55,55
