LTR,Date,expNo1,expNo2,EStmDrtn,Laser,illmDrtn,MSillmHz,MSillmInt,ADThrs,sGSThrs
85,180802,2,1,2,0,5,20,25,63,63
86,180802,2,1,2,1,5,20,25,63,63
85,180802,2,2,2,1,5,20,25,38,63
86,180802,2,2,2,0,5,20,25,88,88
85,180802,2,3,2,0,5,20,25,42,63
86,180802,2,3,2,1,5,20,25,88,88
85,180802,2,4,2,1,5,20,25,53,78
86,180802,2,4,2,0,5,20,25,73,73
85,180802,2,5,2,0,5,20,25,70,70
86,180802,2,5,2,1,5,20,25,30,30
85,180802,2,6,2,1,5,20,25,40,60
86,180802,2,6,2,0,5,20,25,60,60
85,180806,2,1,2,0,5,20,25,15,40
86,180806,2,1,2,1,5,20,25,80,80
85,180806,2,2,2,1,5,20,25,40,40
86,180806,2,2,2,0,5,20,25,25,25
85,180806,2,3,2,0,5,20,25,20,50
86,180806,2,3,2,1,5,20,25,25,25
85,180806,2,4,2,1,5,20,25,38,38
86,180806,2,4,2,0,5,20,25,88,88
85,180806,2,5,2,0,5,20,25,40,60
86,180806,2,5,2,1,5,20,25,80,80
85,180806,2,6,2,1,5,20,25,30,70
86,180806,2,6,2,0,5,20,25,90,90
85,180806,2,7,2,0,5,20,25,35,55
86,180806,2,7,2,1,5,20,25,75,95
85,180806,2,8,2,1,5,20,25,43,73
86,180806,2,8,2,0,5,20,25,93,93
85,180806,2,9,2,0,5,20,25,30,50
86,180806,2,9,2,1,5,20,25,70,300
85,180806,2,10,2,1,5,20,25,43,43
86,180806,2,10,2,0,5,20,25,68,350
85,180808,2,1,2,0,5,20,25,38,38
86,180808,2,1,2,1,5,20,25,88,88
85,180808,2,2,2,1,5,20,25,48,48
86,180808,2,2,2,0,5,20,25,118,118
85,180808,2,3,2,0,5,20,25,38,38
86,180808,2,3,2,1,5,20,25,108,108
85,180808,2,4,2,1,5,20,25,38,38
86,180808,2,4,2,0,5,20,25,95,95
85,180808,2,5,2,0,5,20,25,40,40
86,180808,2,5,2,1,5,20,25,128,128
85,180808,2,6,2,1,5,20,25,35,45
86,180808,2,6,2,0,5,20,25,118,143
85,180808,2,7,2,0,5,20,25,35,65
86,180808,2,7,2,1,5,20,25,128,178
85,180808,2,8,2,1,5,20,25,40,70
86,180808,2,8,2,0,5,20,25,98,243
112,190702,2,2,2,0,60,20,30,30,30
112,190702,2,3,2,1,60,20,30,25,35
112,190702,2,4,2,0,60,20,30,25,25
112,190702,2,5,2,1,60,20,30,25,25
112,190702,2,6,2,0,60,20,30,25,25
112,190702,2,7,2,1,60,20,30,38,38
113,190702,2,2,2,1,60,20,30,60,500
113,190702,2,3,2,0,60,20,30,65,500
113,190702,2,4,2,1,60,20,30,75,75
113,190702,2,5,2,0,60,20,30,125,300
113,190702,2,6,2,1,60,20,30,60,100
113,190702,2,7,2,0,60,20,30,75,300
112,190703,2,2,2,0,60,20,30,25,25
112,190703,2,3,2,1,60,20,30,35,35
112,190703,2,4,2,0,60,20,30,30,30
112,190703,2,5,2,1,60,20,30,30,30
112,190703,2,6,2,0,60,20,30,30,30
112,190703,2,7,2,1,60,20,30,35,35
112,190703,2,8,2,0,60,20,30,53,53
112,190703,2,9,2,1,60,20,30,45,45
112,190703,2,10,2,0,60,20,30,48,48
112,190703,2,11,2,1,60,20,30,28,28
113,190703,2,2,2,1,60,20,30,20,85
113,190703,2,3,2,0,60,20,30,75,75
113,190703,2,4,2,1,60,20,30,65,65
113,190703,2,5,2,0,60,20,30,65,65
113,190703,2,6,2,1,60,20,30,68,68
113,190703,2,7,2,0,60,20,30,70,70
113,190703,2,8,2,1,60,20,30,63,63
113,190703,2,9,2,0,60,20,30,70,70
113,190703,2,10,2,1,60,20,30,63,63
113,190703,2,11,2,0,60,20,30,35,35
